
epoch: 0, VF: 3.26e+00, DVF: 2.03e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.63e+00, Dbias_cov: 1.56e-05, bias_vis: 8.53e-02, Dbias_vis: 5.74e-04, wm: 9.10e-01, Dwm: 5.44e-03, bm: 6.30e+00, Dbm: 3.30e-04, step: 4.11e-02, rej: 2.24e-04
epoch: 1, VF: 3.39e+00, DVF: 1.70e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.64e+00, Dbias_cov: 1.26e-05, bias_vis: 1.47e-01, Dbias_vis: 2.82e-04, wm: 1.82e+00, Dwm: 5.45e-03, bm: 6.24e+00, Dbm: 2.93e-04, step: 1.69e-01, rej: 5.90e-03
epoch: 2, VF: 3.49e+00, DVF: 1.56e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.64e+00, Dbias_cov: 1.19e-05, bias_vis: 1.52e-01, Dbias_vis: 2.47e-04, wm: 2.03e+00, Dwm: 2.38e-03, bm: 6.25e+00, Dbm: 1.52e-04, step: 2.50e-01, rej: 1.84e-02
epoch: 3, VF: 3.59e+00, DVF: 1.69e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.64e+00, Dbias_cov: 1.37e-05, bias_vis: 1.57e-01, Dbias_vis: 2.51e-04, wm: 2.14e+00, Dwm: 2.94e-03, bm: 6.26e+00, Dbm: 2.43e-04, step: 2.50e-01, rej: 1.98e-02
epoch: 4, VF: 3.70e+00, DVF: 1.82e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.64e+00, Dbias_cov: 1.93e-05, bias_vis: 1.67e-01, Dbias_vis: 2.64e-04, wm: 2.35e+00, Dwm: 3.92e-03, bm: 6.26e+00, Dbm: 2.61e-04, step: 2.50e-01, rej: 1.58e-02
epoch: 5, VF: 3.81e+00, DVF: 1.87e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.65e+00, Dbias_cov: 2.15e-05, bias_vis: 1.80e-01, Dbias_vis: 2.64e-04, wm: 2.62e+00, Dwm: 4.34e-03, bm: 6.26e+00, Dbm: 3.26e-04, step: 2.50e-01, rej: 1.53e-02
epoch: 6, VF: 3.90e+00, DVF: 1.77e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.65e+00, Dbias_cov: 2.07e-05, bias_vis: 1.91e-01, Dbias_vis: 2.40e-04, wm: 2.89e+00, Dwm: 3.88e-03, bm: 6.27e+00, Dbm: 3.36e-04, step: 2.50e-01, rej: 1.76e-02
epoch: 7, VF: 4.00e+00, DVF: 1.44e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.65e+00, Dbias_cov: 1.71e-05, bias_vis: 2.00e-01, Dbias_vis: 1.88e-04, wm: 3.07e+00, Dwm: 2.82e-03, bm: 6.28e+00, Dbm: 2.68e-04, step: 2.50e-01, rej: 1.55e-02
epoch: 8, VF: 4.08e+00, DVF: 1.56e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.65e+00, Dbias_cov: 1.58e-05, bias_vis: 2.06e-01, Dbias_vis: 2.43e-04, wm: 3.17e+00, Dwm: 3.70e-03, bm: 6.29e+00, Dbm: 3.84e-04, step: 2.50e-01, rej: 1.48e-02
epoch: 9, VF: 4.17e+00, DVF: 1.33e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.66e+00, Dbias_cov: 1.48e-05, bias_vis: 2.11e-01, Dbias_vis: 1.48e-04, wm: 3.21e+00, Dwm: 2.16e-03, bm: 6.30e+00, Dbm: 1.82e-04, step: 2.50e-01, rej: 1.77e-02
epoch: 10, VF: 4.26e+00, DVF: 1.35e-02, FH: 3.32e+00, DFH: 0.00e+00, bias_cov: 6.66e+00, Dbias_cov: 1.47e-05, bias_vis: 2.15e-01, Dbias_vis: 1.34e-04, wm: 3.24e+00, Dwm: 2.12e-03, bm: 6.31e+00, Dbm: 1.75e-04, step: 2.50e-01, rej: 1.91e-02
epoch: 11, VF: 4.35e+00, DVF: 1.41e-02, FH: 3.19e+00, DFH: 2.84e-04, bias_cov: 6.66e+00, Dbias_cov: 1.41e-05, bias_vis: 2.19e-01, Dbias_vis: 1.30e-04, wm: 3.27e+00, Dwm: 2.24e-03, bm: 6.32e+00, Dbm: 1.54e-04, step: 2.50e-01, rej: 1.92e-02
epoch: 12, VF: 4.43e+00, DVF: 1.47e-02, FH: 3.07e+00, DFH: 3.08e-04, bias_cov: 6.66e+00, Dbias_cov: 1.54e-05, bias_vis: 2.23e-01, Dbias_vis: 1.39e-04, wm: 3.30e+00, Dwm: 2.17e-03, bm: 6.33e+00, Dbm: 2.08e-04, step: 2.50e-01, rej: 1.88e-02
epoch: 13, VF: 4.52e+00, DVF: 1.53e-02, FH: 2.96e+00, DFH: 3.05e-04, bias_cov: 6.66e+00, Dbias_cov: 1.50e-05, bias_vis: 2.27e-01, Dbias_vis: 1.25e-04, wm: 3.33e+00, Dwm: 2.42e-03, bm: 6.34e+00, Dbm: 1.37e-04, step: 2.50e-01, rej: 2.37e-02
epoch: 14, VF: 4.61e+00, DVF: 1.38e-02, FH: 2.85e+00, DFH: 2.98e-04, bias_cov: 6.67e+00, Dbias_cov: 1.41e-05, bias_vis: 2.30e-01, Dbias_vis: 1.21e-04, wm: 3.37e+00, Dwm: 2.23e-03, bm: 6.35e+00, Dbm: 1.54e-04, step: 2.50e-01, rej: 2.36e-02
epoch: 15, VF: 4.70e+00, DVF: 1.50e-02, FH: 2.74e+00, DFH: 3.26e-04, bias_cov: 6.67e+00, Dbias_cov: 1.55e-05, bias_vis: 2.33e-01, Dbias_vis: 5.73e-05, wm: 3.42e+00, Dwm: 1.69e-03, bm: 6.36e+00, Dbm: 6.23e-05, step: 2.50e-01, rej: 2.16e-02
epoch: 16, VF: 4.79e+00, DVF: 1.54e-02, FH: 2.64e+00, DFH: 3.12e-04, bias_cov: 6.67e+00, Dbias_cov: 1.44e-05, bias_vis: 2.36e-01, Dbias_vis: 1.51e-04, wm: 3.46e+00, Dwm: 3.07e-03, bm: 6.37e+00, Dbm: 2.51e-04, step: 2.50e-01, rej: 2.57e-02
epoch: 17, VF: 4.88e+00, DVF: 1.48e-02, FH: 2.54e+00, DFH: 3.29e-04, bias_cov: 6.67e+00, Dbias_cov: 1.54e-05, bias_vis: 2.39e-01, Dbias_vis: 1.09e-04, wm: 3.51e+00, Dwm: 1.91e-03, bm: 6.38e+00, Dbm: 1.65e-04, step: 2.50e-01, rej: 2.34e-02
epoch: 18, VF: 4.97e+00, DVF: 1.37e-02, FH: 2.44e+00, DFH: 3.22e-04, bias_cov: 6.67e+00, Dbias_cov: 1.49e-05, bias_vis: 2.42e-01, Dbias_vis: 6.14e-05, wm: 3.57e+00, Dwm: 1.34e-03, bm: 6.39e+00, Dbm: 7.84e-05, step: 2.50e-01, rej: 2.32e-02
epoch: 19, VF: 5.05e+00, DVF: 1.39e-02, FH: 2.35e+00, DFH: 3.21e-04, bias_cov: 6.68e+00, Dbias_cov: 1.44e-05, bias_vis: 2.45e-01, Dbias_vis: 1.51e-04, wm: 3.63e+00, Dwm: 3.09e-03, bm: 6.40e+00, Dbm: 2.22e-04, step: 2.50e-01, rej: 2.80e-02
epoch: 20, VF: 5.14e+00, DVF: 1.45e-02, FH: 2.26e+00, DFH: 3.19e-04, bias_cov: 6.68e+00, Dbias_cov: 1.43e-05, bias_vis: 2.48e-01, Dbias_vis: 1.16e-04, wm: 3.69e+00, Dwm: 2.68e-03, bm: 6.40e+00, Dbm: 1.70e-04, step: 2.50e-01, rej: 2.95e-02
epoch: 21, VF: 5.23e+00, DVF: 1.48e-02, FH: 2.18e+00, DFH: 3.44e-04, bias_cov: 6.68e+00, Dbias_cov: 1.57e-05, bias_vis: 2.51e-01, Dbias_vis: 8.45e-05, wm: 3.76e+00, Dwm: 2.10e-03, bm: 6.41e+00, Dbm: 1.50e-04, step: 2.50e-01, rej: 2.87e-02
epoch: 22, VF: 5.31e+00, DVF: 1.38e-02, FH: 2.10e+00, DFH: 3.36e-04, bias_cov: 6.68e+00, Dbias_cov: 1.52e-05, bias_vis: 2.55e-01, Dbias_vis: 1.43e-04, wm: 3.83e+00, Dwm: 2.61e-03, bm: 6.42e+00, Dbm: 2.20e-04, step: 2.50e-01, rej: 3.13e-02
epoch: 23, VF: 5.40e+00, DVF: 1.43e-02, FH: 2.03e+00, DFH: 3.16e-04, bias_cov: 6.68e+00, Dbias_cov: 1.39e-05, bias_vis: 2.58e-01, Dbias_vis: 1.63e-04, wm: 3.90e+00, Dwm: 3.48e-03, bm: 6.43e+00, Dbm: 2.66e-04, step: 2.50e-01, rej: 3.15e-02
epoch: 24, VF: 5.49e+00, DVF: 1.43e-02, FH: 1.95e+00, DFH: 3.51e-04, bias_cov: 6.69e+00, Dbias_cov: 1.58e-05, bias_vis: 2.61e-01, Dbias_vis: 8.43e-05, wm: 3.97e+00, Dwm: 2.05e-03, bm: 6.43e+00, Dbm: 1.05e-04, step: 2.50e-01, rej: 3.10e-02
epoch: 25, VF: 5.57e+00, DVF: 1.42e-02, FH: 1.88e+00, DFH: 3.52e-04, bias_cov: 6.69e+00, Dbias_cov: 1.57e-05, bias_vis: 2.64e-01, Dbias_vis: 9.13e-05, wm: 4.03e+00, Dwm: 2.12e-03, bm: 6.44e+00, Dbm: 1.47e-04, step: 2.50e-01, rej: 3.34e-02
epoch: 26, VF: 5.66e+00, DVF: 1.47e-02, FH: 1.82e+00, DFH: 3.28e-04, bias_cov: 6.69e+00, Dbias_cov: 1.43e-05, bias_vis: 2.67e-01, Dbias_vis: 1.78e-04, wm: 4.09e+00, Dwm: 3.55e-03, bm: 6.45e+00, Dbm: 2.80e-04, step: 2.50e-01, rej: 3.40e-02
epoch: 27, VF: 5.74e+00, DVF: 1.36e-02, FH: 1.76e+00, DFH: 3.51e-04, bias_cov: 6.69e+00, Dbias_cov: 1.55e-05, bias_vis: 2.70e-01, Dbias_vis: 1.04e-04, wm: 4.15e+00, Dwm: 2.44e-03, bm: 6.45e+00, Dbm: 1.80e-04, step: 2.50e-01, rej: 3.51e-02
epoch: 28, VF: 5.82e+00, DVF: 1.32e-02, FH: 1.70e+00, DFH: 3.42e-04, bias_cov: 6.70e+00, Dbias_cov: 1.50e-05, bias_vis: 2.73e-01, Dbias_vis: 7.14e-05, wm: 4.20e+00, Dwm: 1.62e-03, bm: 6.46e+00, Dbm: 7.85e-05, step: 2.50e-01, rej: 3.24e-02
epoch: 29, VF: 5.91e+00, DVF: 1.46e-02, FH: 1.65e+00, DFH: 3.68e-04, bias_cov: 6.70e+00, Dbias_cov: 1.63e-05, bias_vis: 2.76e-01, Dbias_vis: 1.27e-04, wm: 4.26e+00, Dwm: 2.66e-03, bm: 6.47e+00, Dbm: 1.83e-04, step: 2.50e-01, rej: 3.11e-02
epoch: 30, VF: 5.99e+00, DVF: 1.43e-02, FH: 1.60e+00, DFH: 3.62e-04, bias_cov: 6.70e+00, Dbias_cov: 1.59e-05, bias_vis: 2.79e-01, Dbias_vis: 1.45e-04, wm: 4.31e+00, Dwm: 2.78e-03, bm: 6.47e+00, Dbm: 2.30e-04, step: 2.50e-01, rej: 3.75e-02
epoch: 31, VF: 6.07e+00, DVF: 1.32e-02, FH: 1.55e+00, DFH: 3.51e-04, bias_cov: 6.70e+00, Dbias_cov: 1.54e-05, bias_vis: 2.82e-01, Dbias_vis: 8.24e-05, wm: 4.35e+00, Dwm: 1.78e-03, bm: 6.48e+00, Dbm: 1.07e-04, step: 2.50e-01, rej: 3.01e-02
epoch: 32, VF: 6.16e+00, DVF: 1.34e-02, FH: 1.51e+00, DFH: 3.68e-04, bias_cov: 6.70e+00, Dbias_cov: 1.61e-05, bias_vis: 2.85e-01, Dbias_vis: 1.32e-04, wm: 4.40e+00, Dwm: 2.45e-03, bm: 6.49e+00, Dbm: 1.98e-04, step: 2.50e-01, rej: 3.81e-02
epoch: 33, VF: 6.24e+00, DVF: 1.35e-02, FH: 1.46e+00, DFH: 3.59e-04, bias_cov: 6.71e+00, Dbias_cov: 1.57e-05, bias_vis: 2.87e-01, Dbias_vis: 5.78e-05, wm: 4.43e+00, Dwm: 1.47e-03, bm: 6.49e+00, Dbm: 1.03e-04, step: 2.50e-01, rej: 3.56e-02
epoch: 34, VF: 6.32e+00, DVF: 1.50e-02, FH: 1.43e+00, DFH: 3.79e-04, bias_cov: 6.71e+00, Dbias_cov: 1.64e-05, bias_vis: 2.90e-01, Dbias_vis: 1.20e-04, wm: 4.47e+00, Dwm: 2.74e-03, bm: 6.50e+00, Dbm: 1.64e-04, step: 2.50e-01, rej: 3.78e-02
epoch: 35, VF: 6.40e+00, DVF: 1.37e-02, FH: 1.39e+00, DFH: 3.63e-04, bias_cov: 6.71e+00, Dbias_cov: 1.55e-05, bias_vis: 2.93e-01, Dbias_vis: 1.19e-04, wm: 4.51e+00, Dwm: 2.36e-03, bm: 6.50e+00, Dbm: 1.57e-04, step: 2.50e-01, rej: 3.73e-02
epoch: 36, VF: 6.48e+00, DVF: 1.38e-02, FH: 1.36e+00, DFH: 3.66e-04, bias_cov: 6.71e+00, Dbias_cov: 1.57e-05, bias_vis: 2.95e-01, Dbias_vis: 1.04e-04, wm: 4.54e+00, Dwm: 2.23e-03, bm: 6.51e+00, Dbm: 1.61e-04, step: 2.50e-01, rej: 3.05e-02
